日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-03-20,=45.0000,=45.0000,=45.0000,=45.0000,=155822823225.0,=93386133225.0,=39139573275.0,,=18.1755,,,,
2026-03-19,=45.6700,=45.6700,=45.6700,=45.6700,=158142851926.3501,=94776548986.0,=39722318032.65,,=18.4461,,,,
2026-03-18,=48.2600,=48.2600,=48.2600,=48.2600,=167111321085.3001,=100151439765.0,=41975017916.7,,=19.4922,,,,
2026-03-17,=48.5200,=48.5200,=48.5200,=48.5200,=168011630730.6001,=100691004091.0,=42201157673.4,,=19.5972,,,,
2026-03-16,=49.2500,=49.2500,=49.2500,=49.2500,=170539423196.2501,=102205934696.0,=42836088528.75,,=19.8921,,,,
2026-03-13,=50.7400,=50.7400,=50.7400,=50.7400,=175698890009.7001,=105298053330.0,=44132043288.3,,=20.4939,,,,
2026-03-12,=51.5500,=51.5500,=51.5500,=51.5500,=178503700827.75,=106979003728.0,=44836555607.25,,=20.8211,,,,
2026-03-11,=52.0800,=52.0800,=52.0800,=52.0800,=180338947412.4001,=108078884852.0,=45297532803.6,,=21.0351,,,,
2026-03-10,=52.4400,=52.4400,=52.4400,=52.4400,=181585529998.2001,=108825973918.0,=45610649389.8,,=21.1805,,,,
2026-03-09,=51.7700,=51.7700,=51.7700,=51.7700,=179265501296.8501,=107435558157.0,=45027904632.15,,=20.9099,,,,
2026-03-06,=53.5900,=53.5900,=53.5900,=53.5900,=185567668813.9501,=111212508434.0,=46610882929.05,,=21.6450,,,,
2026-03-05,=55.0800,=55.0800,=55.0800,=55.0800,=190727135627.4001,=114304627067.0,=47906837688.6,,=22.2468,,,,
2026-03-04,=54.8600,=54.8600,=54.8600,=54.8600,=189965335158.3001,=113848072638.0,=47715488663.7,,=22.1580,,,,
2026-03-03,=55.8200,=55.8200,=55.8200,=55.8200,=193289555387.1001,=115840310147.0,=48550466226.9,,=22.5457,,,,
2026-03-02,=59.6100,=59.6100,=59.6100,=59.6100,=206413299832.0501,=123705497812.0,=51846888064.95,,=24.0765,,,,
2026-02-27,=58.0400,=58.0400,=58.0400,=58.0400,=200976814666.2001,=120447359386.0,=50481351841.8,,=23.4424,,,,
2026-02-26,=56.9000,=56.9000,=56.9000,=56.9000,=197029303144.5001,=118081577345.0,=49489815985.5,,=22.9819,,,,
2026-02-25,=57.6400,=57.6400,=57.6400,=57.6400,=199591722904.2001,=119617260424.0,=50133444523.8,,=23.2808,,,,
2026-02-24,=57.1100,=57.1100,=57.1100,=57.1100,=197756476319.5501,=118517379300.0,=49672467327.45,,=23.0668,,,,
2026-02-13,=55.0300,=55.0300,=55.0300,=55.0300,=190553999157.1501,=114200864697.0,=47863349273.85,,=22.2266,,,,
2026-02-12,=56.5900,=56.5900,=56.5900,=56.5900,=195955857028.9501,=117438250649.0,=49220187814.05,,=22.8567,,,,
2026-02-11,=56.4700,=56.4700,=56.4700,=56.4700,=195540329500.3501,=117189220960.0,=49115815618.65,,=22.8083,,,,
2026-02-10,=55.6000,=55.6000,=55.6000,=55.6000,=192527754918.0001,=115383755718.0,=48359117202.0,,=22.4569,,,,
2026-02-09,=55.4600,=55.4600,=55.4600,=55.4600,=192042972801.3001,=115093221081.0,=48237349640.7,,=22.4003,,,,
2026-02-06,=55.1200,=55.1200,=55.1200,=55.1200,=190865644803.6001,=114387636964.0,=47941628420.4,,=22.2630,,,,
2026-02-05,=55.8600,=55.8600,=55.8600,=55.8600,=193428064563.3001,=115923320043.0,=48585256958.7,,=22.5619,,,,
2026-02-04,=58.8600,=58.8600,=58.8600,=58.8600,=203816252778.3001,=122149062258.0,=51194561843.7,,=23.7736,,,,
2026-02-03,=59.0500,=59.0500,=59.0500,=59.0500,=204474171365.2501,=122543359265.0,=51359817819.75,,=23.8503,,,,
2026-02-02,=57.0800,=57.0800,=57.0800,=57.0800,=197652594437.4001,=118455121877.0,=49646374278.6,,=23.0546,,,,
2026-01-30,=63.4200,=63.4200,=63.4200,=63.4200,=219606298865.1001,=131612190425.0,=55160705268.9,,=25.6154,,,,
2026-01-29,=70.4700,=70.4700,=70.4700,=70.4700,=244018541170.3501,=146242684630.0,=61292571748.65,,=28.4629,,,,
2026-01-28,=64.3200,=64.3200,=64.3200,=64.3200,=222722755329.6001,=133479913090.0,=55943496734.4,,=25.9789,,,,
2026-01-27,=60.8000,=60.8000,=60.8000,=60.8000,=210533947824.0001,=126175042224.0,=52881912336.0,,=24.5571,,,,
2026-01-26,=62.8200,=62.8200,=62.8200,=62.8200,=217528661222.1001,=130367041982.0,=54638844291.9,,=25.3730,,,,
2026-01-23,=59.6100,=59.6100,=59.6100,=59.6100,=206413299832.0501,=123705497812.0,=51846888064.95,,=24.0765,,,,
2026-01-22,=60.3000,=60.3000,=60.3000,=60.3000,=208802583121.5001,=125137418522.0,=52447028188.5,,=24.3552,,,,
2026-01-21,=62.1900,=62.1900,=62.1900,=62.1900,=215347141696.9501,=129059636117.0,=54090890266.05,,=25.1186,,,,
2026-01-20,=60.9000,=60.9000,=60.9000,=60.9000,=210880220764.5001,=126382566965.0,=52968889165.5,,=24.5975,,,,
