日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-01-05,=426.6300,=426.6300,=426.6300,=426.6300,=424074192778.56,=377746364285.0,=362350542730.62,,=21.1813,,,,
2025-12-31,=430.8800,=430.8800,=430.8800,=430.8800,=428298732354.56,=381509395596.0,=365960204045.12,,=21.3923,,,,
2025-12-30,=446.0000,=446.0000,=446.0000,=446.0000,=443328153152.0,=394896932872.0,=378802105004.0,,=22.1430,,,,
2025-12-29,=444.5000,=444.5000,=444.5000,=444.5000,=441837139184.0,=393568804174.0,=377528106893.0,,=22.0685,,,,
2025-12-26,=445.3000,=445.3000,=445.3000,=445.3000,=442632346633.6001,=394277139480.0,=378207572552.2,,=22.1082,,,,
2025-12-25,=447.9900,=447.9900,=447.9900,=447.9900,=445289673972.48,=396646757600.0,=380492275831.26,,=22.2409,,,,
2025-12-24,=453.5100,=453.5100,=453.5100,=453.5100,=450776401355.52,=401534121385.0,=385180588879.74,,=22.5150,,,,
2025-12-23,=458.0000,=458.0000,=458.0000,=458.0000,=455239337216.0,=405509531420.0,=388994089892.0,,=22.7379,,,,
2025-12-22,=462.9900,=462.9900,=462.9900,=462.9900,=460199259252.48,=409927637450.0,=393232256941.26,,=22.9856,,,,
2025-12-19,=434.3000,=434.3000,=434.3000,=434.3000,=431682192473.6001,=384525741257.0,=368864919738.2,,=21.5613,,,,
2025-12-18,=425.5000,=425.5000,=425.5000,=425.5000,=422935235776.0,=376734291745.0,=361390797487.0,,=21.1244,,,,
2025-12-17,=446.1000,=446.1000,=446.1000,=446.1000,=443411066227.2,=394973366739.0,=378887038211.4,,=22.1471,,,,
2025-12-16,=407.2000,=407.2000,=407.2000,=407.2000,=404745541734.4,=360531618328.0,=345848020532.8,,=20.2159,,,,
2025-12-15,=426.8100,=426.8100,=426.8100,=426.8100,=424237339557.12,=377894155252.0,=362503422503.94,,=21.1894,,,,
2025-12-12,=428.0000,=428.0000,=428.0000,=428.0000,=425420166656.0,=378947771720.0,=363514127672.0,,=21.2485,,,,
2025-12-11,=416.5100,=416.5100,=416.5100,=416.5100,=413999424331.52,=368774617755.0,=353755302141.74,,=20.6781,,,,
2025-12-10,=432.2600,=432.2600,=432.2600,=432.2600,=429654488875.52,=382719541597.0,=367132282307.24,,=21.4600,,,,
2025-12-09,=419.1300,=419.1300,=419.1300,=419.1300,=416603631893.76,=371094344769.0,=355980552175.62,,=20.8081,,,,
2025-12-08,=404.5200,=404.5200,=404.5200,=404.5200,=402081695831.04,=358158767795.0,=343571810574.48,,=20.0828,,,,
2025-12-05,=377.5100,=377.5100,=377.5100,=377.5100,=375234502603.52,=334244330145.0,=320631351255.74,,=18.7419,,,,
2025-12-04,=374.2500,=374.2500,=374.2500,=374.2500,=371994152736.0,=331357952258.0,=317862528694.5,,=18.5800,,,,
2025-12-03,=373.1300,=373.1300,=373.1300,=373.1300,=370880903701.76,=330366313229.0,=316911276771.62,,=18.5244,,,,
2025-12-02,=365.0000,=365.0000,=365.0000,=365.0000,=362799908480.0,=323168076350.0,=310006207010.0,,=18.1208,,,,
2025-12-01,=355.6100,=355.6100,=355.6100,=355.6100,=353466508094.7201,=314854245564.0,=302030978835.14,,=17.6546,,,,
2025-11-28,=347.8000,=347.8000,=347.8000,=347.8000,=345703584025.6001,=307939334122.0,=295397695337.2,,=17.2669,,,,
2025-11-27,=340.8000,=340.8000,=340.8000,=340.8000,=338745777561.6001,=301741590192.0,=289452370819.2,,=16.9194,,,,
2025-11-26,=331.1200,=331.1200,=331.1200,=331.1200,=329124125194.24,=293170995729.0,=281230836342.88,,=16.4388,,,,
2025-11-25,=304.7200,=304.7200,=304.7200,=304.7200,=302883255101.44,=269796647193.0,=258808469589.2801,,=15.1281,,,,
2025-11-24,=293.0000,=293.0000,=293.0000,=293.0000,=291233899136.0,=259419853070.0,=248854297682.0,,=14.5463,,,,
2025-11-21,=300.0000,=300.0000,=300.0000,=300.0000,=298191705600.0,=265617597000.0,=254799622200.0,,=14.8938,,,,
2025-11-20,=327.7400,=327.7400,=327.7400,=327.7400,=325764498644.48,=290178370803.0,=278360093932.76,,=16.2710,,,,
