date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,市值(元),理杏仁前复权(港币),前复权(港币),后复权(港币),股价(港币),市值(港币),PEG
2025-10-16,29.8856,0.2516,41.4112,37.1292,28.0287,0,5.4008,0.2516,7.3995,6.6344,5.0495,7.2435,0.2323,12.2845,11.0453,7.0446,,444.2,444.2,444.2,444.2,168626670960.0,0.9339
2025-10-15,29.8721,0.2468,41.4112,37.2017,28.0287,0,5.3983,0.2468,7.3995,6.6473,5.0495,7.2403,0.2273,12.2845,11.0549,7.0446,,444.0,444.0,444.0,444.0,168550747200.0,0.9335
2025-10-14,28.0287,0.2026,41.4112,37.2339,28.0287,0,5.0652,0.2157,7.3995,6.6531,5.0495,6.7935,0.1765,12.2845,11.0787,7.0446,,416.6,416.6,416.6,416.6,158149192080.0,0.8759
2025-10-13,29.0648,0.2303,41.4515,37.2661,27.6385,0,5.2524,0.2303,7.4067,6.6588,4.9947,7.0446,0.1974,12.2964,11.1026,7.0446,,432.0,432.0,432.0,432.0,163995321600.0,0.9083
2025-10-10,28.1902,0.2053,41.4515,37.3466,27.6385,0,5.0944,0.2185,7.4067,6.6732,4.9947,6.8326,0.1788,12.2964,11.1145,7.0537,,419.0,419.0,419.0,419.0,159060277200.0,0.8809
2025-10-09,26.9926,0.1267,41.4515,37.4271,27.6385,0,4.878,0.1333,7.4067,6.6876,4.9947,6.5423,0.1067,12.2964,11.1265,7.0935,,401.2,401.2,401.2,401.2,152303062560.0,0.8435
2025-10-08,25.2299,0.0201,41.4515,37.4673,28.2404,0,4.5594,0.0201,7.4067,6.6948,5.0495,6.1151,0.0,12.2964,11.1336,7.2239,,375.0,375.0,375.0,375.0,142357050000.0,0.7884
2025-10-06,25.2971,0.0203,41.4515,37.5075,28.2836,0,4.5716,0.0203,7.4067,6.702,5.0538,6.1314,0.0,12.2964,11.1408,8.3039,,376.0,376.0,376.0,376.0,142736668800.0,0.7905
2025-10-03,25.6604,0.0204,41.4917,37.5317,28.2836,0,4.6372,0.0204,7.4139,6.7063,5.0538,6.2195,0.0,12.3084,11.1504,8.3039,,381.4,381.4,381.4,381.4,144786610320.0,0.8019
2025-10-02,26.3736,0.0479,41.4917,37.5558,29.0513,0,4.7661,0.0479,7.4139,6.7106,5.25,6.3923,0.0274,12.3084,11.1599,8.3902,,392.0,392.0,392.0,392.0,148810569600.0,0.8242
2025-09-30,26.1314,0.0276,41.4917,37.588,29.2666,0,4.7223,0.0276,7.4139,6.7164,5.2889,6.3336,0.0069,12.3084,11.1766,8.6346,,388.4,388.4,388.4,388.4,147443941920.0,0.8166
2025-09-29,26.0372,0.0208,41.4917,37.6202,30.5373,0,4.7053,0.0208,7.4139,6.7221,5.4565,6.3108,0.0,12.3084,11.1933,9.0588,,387.0,387.0,387.0,387.0,146912475600.0,0.8137
2025-09-26,26.2794,0.021,41.4917,37.6766,30.8656,0,4.7491,0.021,7.4139,6.7322,5.5189,6.3695,0.0,12.3084,11.1933,9.4373,,390.6,390.6,390.6,390.6,148279103280.0,0.8212
2025-09-25,26.4813,0.0282,42.1356,37.7329,30.8656,0,4.7856,0.0282,7.5289,6.7422,5.5189,6.4184,0.007,12.4994,11.1933,9.4373,,393.6,393.6,393.6,393.6,149417959680.0,0.8275
